pond	block	date	timepoint	treatment	replicates	duckweed_number	aphid_number																									
13A	13	30.06.2025	5	control	6	50	80																									
13B	13	30.06.2025	5	heated	1	50	82																									
13B	13	30.06.2025	5	heated	2	50	89																									
13B	13	30.06.2025	5	heated	3	50	90																									
13B	13	30.06.2025	5	heated	4	50	56																									
13B	13	30.06.2025	5	heated	5	50	124																									
13B	13	30.06.2025	5	heated	6	50	91																									
14A	14	30.06.2025	5	control	1	50	107																									
14A	14	30.06.2025	5	control	2	50	104																									
14A	14	30.06.2025	5	control	3	50	101																									
14A	14	30.06.2025	5	control	4	50	98																									
14A	14	30.06.2025	5	control	5	50	89																									
14A	14	30.06.2025	5	control	6	50	87																									
14B	14	30.06.2025	5	heated	1	50	78																									
14B	14	30.06.2025	5	heated	2	50	87																									
14B	14	30.06.2025	5	heated	3	50	56																									
14B	14	30.06.2025	5	heated	4	50	54																									
14B	14	30.06.2025	5	heated	5	50	68																									
14B	14	30.06.2025	5	heated	6	50	72																									
15A	15	30.06.2025	5	heated	1	50	116																									
15A	15	30.06.2025	5	heated	2	50	119																									
15A	15	30.06.2025	5	heated	3	50	77																									
15A	15	30.06.2025	5	heated	4	50	84																									
15A	15	30.06.2025	5	heated	5	50	87																									
15A	15	30.06.2025	5	heated	6	50	85																									
15B	15	30.06.2025	5	control	1	50	83																									
15B	15	30.06.2025	5	control	2	50	98																									
15B	15	30.06.2025	5	control	3	50	108																									
15B	15	30.06.2025	5	control	4	50	114																									
15B	15	30.06.2025	5	control	5	50	90																									
15B	15	30.06.2025	5	control	6	50	84																									
16A	16	30.06.2025	5	heated	1	50	60																									
16A	16	30.06.2025	5	heated	2	50	46																									
16A	16	30.06.2025	5	heated	3	50	61																									
16A	16	30.06.2025	5	heated	4	50	78																									
16A	16	30.06.2025	5	heated	5	50	68																									
16A	16	30.06.2025	5	heated	6	50	65																									
16B	16	30.06.2025	5	control	1	50	58																									
16B	16	30.06.2025	5	control	2	50	36																									
16B	16	30.06.2025	5	control	3	50	61																									
16B	16	30.06.2025	5	control	4	50	54																									
16B	16	30.06.2025	5	control	5	50	22																									
16B	16	30.06.2025	5	control	6	50	25																									
1A	1	15.07.2025	7	control	1	50	19																									
1A	1	15.07.2025	7	control	2	50	25																									
1A	1	15.07.2025	7	control	3	50	13																									
1A	1	15.07.2025	7	control	4	50	36																									
1A	1	15.07.2025	7	control	5	50	18																									
1A	1	15.07.2025	7	control	6	50	16																									
1B	1	15.07.2025	7	heated	1	50	47																									
1B	1	15.07.2025	7	heated	2	50	21																									
1B	1	15.07.2025	7	heated	3	50	36																									
1B	1	15.07.2025	7	heated	4	50	30																									
1B	1	15.07.2025	7	heated	5	50	58																									
1B	1	15.07.2025	7	heated	6	50	39																									
2A	2	15.07.2025	7	control	1	50	77																									
2A	2	15.07.2025	7	control	2	50	69																									
2A	2	15.07.2025	7	control	3	50	91																									
2A	2	15.07.2025	7	control	4	50	61																									
2A	2	15.07.2025	7	control	5	50	41																									
2A	2	15.07.2025	7	control	6	50	50																									
2B	2	15.07.2025	7	heated	1	50	62																									
2B	2	15.07.2025	7	heated	2	50	62																									
2B	2	15.07.2025	7	heated	3	50	77																									
2B	2	15.07.2025	7	heated	4	50	64																									
2B	2	15.07.2025	7	heated	5	50	78																									
2B	2	15.07.2025	7	heated	6	50	64																									
3A	3	15.07.2025	7	heated	1	50	11																									
3A	3	15.07.2025	7	heated	2	50	21																									
3A	3	15.07.2025	7	heated	3	50	28																									
3A	3	15.07.2025	7	heated	4	50	21																									
3A	3	15.07.2025	7	heated	5	50	46																									
3A	3	15.07.2025	7	heated	6	50	17																									
3B	3	15.07.2025	7	control	1	50	66																									
3B	3	15.07.2025	7	control	2	50	32																									
3B	3	15.07.2025	7	control	3	50	44																									
3B	3	15.07.2025	7	control	4	50	50																									
3B	3	15.07.2025	7	control	5	50	57																									
3B	3	15.07.2025	7	control	6	50	40																									
4A	4	15.07.2025	7	heated	1	50	32																									
4A	4	15.07.2025	7	heated	2	50	26																									
4A	4	15.07.2025	7	heated	3	50	46																									
4A	4	15.07.2025	7	heated	4	50	51																									
4A	4	15.07.2025	7	heated	5	50	50																									
4A	4	15.07.2025	7	heated	6	50	40																									
4B	4	15.07.2025	7	control	1	50	38																									
4B	4	15.07.2025	7	control	2	50	0																									
4B	4	15.07.2025	7	control	3	50	0																									
4B	4	15.07.2025	7	control	4	50	75																									
4B	4	15.07.2025	7	control	5	50	83																									
4B	4	15.07.2025	7	control	6	50	0																									
5A	5	15.07.2025	7	control	1	50	64																									
5A	5	15.07.2025	7	control	2	50	46																									
5A	5	15.07.2025	7	control	3	50	47																									
5A	5	15.07.2025	7	control	4	50	48																									
5A	5	15.07.2025	7	control	5	50	42																									
5A	5	15.07.2025	7	control	6	50	45																									
5B	5	15.07.2025	7	heated	1	50	25																									
5B	5	15.07.2025	7	heated	2	50	14																									
5B	5	15.07.2025	7	heated	3	50	19																									
5B	5	15.07.2025	7	heated	4	50	14																									
5B	5	15.07.2025	7	heated	5	50	16																									
5B	5	15.07.2025	7	heated	6	50	16																									
6A	6	15.07.2025	7	control	1	50	30																									
6A	6	15.07.2025	7	control	2	50	24																									
6A	6	15.07.2025	7	control	3	50	28																									
6A	6	15.07.2025	7	control	4	50	22																									
6A	6	15.07.2025	7	control	5	50	24																									
6A	6	15.07.2025	7	control	6	50	20																									
6B	6	15.07.2025	7	heated	1	50	21																									
6B	6	15.07.2025	7	heated	2	50	37																									
6B	6	15.07.2025	7	heated	3	50	29																									
6B	6	15.07.2025	7	heated	4	50	35																									
6B	6	15.07.2025	7	heated	5	50	25																									
6B	6	15.07.2025	7	heated	6	50	54																									
7A	7	15.07.2025	7	heated	1	50	13																									
7A	7	15.07.2025	7	heated	2	50	18																									
7A	7	15.07.2025	7	heated	3	50	24																									
7A	7	15.07.2025	7	heated	4	50	25																									
7A	7	15.07.2025	7	heated	5	50	27																									
7A	7	15.07.2025	7	heated	6	50	21																									
7B	7	15.07.2025	7	control	1	50	57																									
7B	7	15.07.2025	7	control	2	43	35																									
7B	7	15.07.2025	7	control	3	45	47																									
7B	7	15.07.2025	7	control	4	50	44																									
7B	7	15.07.2025	7	control	5	50	63																									
7B	7	15.07.2025	7	control	6	50	46																									
8A	8	15.07.2025	7	heated	1	50	38																									
8A	8	15.07.2025	7	heated	2	50	23																									
8A	8	15.07.2025	7	heated	3	50	35																									
8A	8	15.07.2025	7	heated	4	50	8																									
8A	8	15.07.2025	7	heated	5	50	37																									
8A	8	15.07.2025	7	heated	6	50	40																									
8B	8	15.07.2025	7	control	1	50	41																									
8B	8	15.07.2025	7	control	2	50	38																									
8B	8	15.07.2025	7	control	3	50	35																									
8B	8	15.07.2025	7	control	4	50	41																									
8B	8	15.07.2025	7	control	5	50	52																									
8B	8	15.07.2025	7	control	6	50	58																									
9A	9	15.07.2025	7	control	1	50	51																									
9A	9	15.07.2025	7	control	2	50	33																									
9A	9	15.07.2025	7	control	3	50	44																									
9A	9	15.07.2025	7	control	4	50	47																									
9A	9	15.07.2025	7	control	5	50	47																									
9A	9	15.07.2025	7	control	6	50	51																									
9B	9	15.07.2025	7	heated	1	50	3																									
9B	9	15.07.2025	7	heated	2	50	4																									
9B	9	15.07.2025	7	heated	3	50	0																									
9B	9	15.07.2025	7	heated	4	50	0																									
9B	9	15.07.2025	7	heated	5	50	2																									
9B	9	15.07.2025	7	heated	6	50	1																									
10A	10	15.07.2025	7	control	1	50	25																									
10A	10	15.07.2025	7	control	2	50	38																									
10A	10	15.07.2025	7	control	3	50	47																									
10A	10	15.07.2025	7	control	4	50	42																									
10A	10	15.07.2025	7	control	5	50	52																									
10A	10	15.07.2025	7	control	6	50	48																									
10B	10	15.07.2025	7	heated	1	50	44																									
10B	10	15.07.2025	7	heated	2	50	27																									
10B	10	15.07.2025	7	heated	3	50	47																									
10B	10	15.07.2025	7	heated	4	50	41																									
10B	10	15.07.2025	7	heated	5	50	33																									
10B	10	15.07.2025	7	heated	6	50	33																									
11A	11	15.07.2025	7	heated	1	50	11																									
11A	11	15.07.2025	7	heated	2	50	8																									
11A	11	15.07.2025	7	heated	3	50	25																									
11A	11	15.07.2025	7	heated	4	50	11																									
11A	11	15.07.2025	7	heated	5	50	17																									
11A	11	15.07.2025	7	heated	6	50	11																									
11B	11	15.07.2025	7	control	1	50	22																									
11B	11	15.07.2025	7	control	2	50	45																									
11B	11	15.07.2025	7	control	3	50	38																									
11B	11	15.07.2025	7	control	4	50	27																									
11B	11	15.07.2025	7	control	5	50	32																									
11B	11	15.07.2025	7	control	6	50	53																									
12A	12	15.07.2025	7	heated	1	50	7																									
12A	12	15.07.2025	7	heated	2	50	5																									
12A	12	15.07.2025	7	heated	3	50	8																									
12A	12	15.07.2025	7	heated	4	50	4																									
12A	12	15.07.2025	7	heated	5	50	4																									
12A	12	15.07.2025	7	heated	6	50	11																									
12B	12	15.07.2025	7	control	1	50	37																									
12B	12	15.07.2025	7	control	2	50	30																									
12B	12	15.07.2025	7	control	3	50	41																									
12B	12	15.07.2025	7	control	4	50	32																									
12B	12	15.07.2025	7	control	5	50	25																									
12B	12	15.07.2025	7	control	6	50	42																									
13A	13	15.07.2025	7	control	1	50	39																									
13A	13	15.07.2025	7	control	2	50	32																									
13A	13	15.07.2025	7	control	3	50	41																									
13A	13	15.07.2025	7	control	4	50	26																									
13A	13	15.07.2025	7	control	5	50	42																									
13A	13	15.07.2025	7	control	6	50	35																									
13B	13	15.07.2025	7	heated	1	50	0																									
13B	13	15.07.2025	7	heated	2	50	6																									
13B	13	15.07.2025	7	heated	3	50	0																									
13B	13	15.07.2025	7	heated	4	50	1																									
13B	13	15.07.2025	7	heated	5	50	1																									
13B	13	15.07.2025	7	heated	6	50	1																									
14A	14	15.07.2025	7	control	1	50	58																									
14A	14	15.07.2025	7	control	2	50	30																									
14A	14	15.07.2025	7	control	3	50	63																									
14A	14	15.07.2025	7	control	4	50	46																									
14A	14	15.07.2025	7	control	5	50	54																									
14A	14	15.07.2025	7	control	6	50	45																									
14B	14	15.07.2025	7	heated	1	50	16																									
14B	14	15.07.2025	7	heated	2	50	16																									
14B	14	15.07.2025	7	heated	3	50	29																									
14B	14	15.07.2025	7	heated	4	50	22																									
14B	14	15.07.2025	7	heated	5	50	17																									
14B	14	15.07.2025	7	heated	6	50	32																									
15A	15	15.07.2025	7	heated	1	50	5																									
15A	15	15.07.2025	7	heated	2	50	3																									
15A	15	15.07.2025	7	heated	3	50	2																									
15A	15	15.07.2025	7	heated	4	50	10																									
15A	15	15.07.2025	7	heated	5	50	8																									
15A	15	15.07.2025	7	heated	6	50	7																									
15B	15	15.07.2025	7	control	1	50	47																									
15B	15	15.07.2025	7	control	2	50	72																									
15B	15	15.07.2025	7	control	3	50	42																									
15B	15	15.07.2025	7	control	4	50	22																									
15B	15	15.07.2025	7	control	5	42	26																									
16A	16	15.07.2025	7	heated	1	50	2																									
16A	16	15.07.2025	7	heated	2	50	13																									
16A	16	15.07.2025	7	heated	3	50	7																									
16A	16	15.07.2025	7	heated	4	50	9																									
16A	16	15.07.2025	7	heated	5	50	1																									
16A	16	15.07.2025	7	heated	6	50	3																									
16B	16	15.07.2025	7	control	1	50	51																									
16B	16	15.07.2025	7	control	2	50	39																									
16B	16	15.07.2025	7	control	3	50	53																									
16B	16	15.07.2025	7	control	4	50	75																									
16B	16	15.07.2025	7	control	5	50	64																									
16B	16	15.07.2025	7	control	6	50	57																									
1A	1	28.07.2025	9	control	1	50	26																									
1A	1	28.07.2025	9	control	2	50	14																									
1A	1	28.07.2025	9	control	3	50	12																									
1A	1	28.07.2025	9	control	4	50	36																									
1A	1	28.07.2025	9	control	5	50	20																									
1A	1	28.07.2025	9	control	6	50	32																									
1B	1	28.07.2025	9	heated	1	0	0																									
2A	2	28.07.2025	9	control	1	31	4																									
2A	2	28.07.2025	9	control	2	42	11																									
2A	2	28.07.2025	9	control	3	50	14																									
2A	2	28.07.2025	9	control	4	50	17																									
2A	2	28.07.2025	9	control	5	28	6																									
2B	2	28.07.2025	9	heated	1	50	32																									
2B	2	28.07.2025	9	heated	2	50	30																									
2B	2	28.07.2025	9	heated	3	50	21																									
2B	2	28.07.2025	9	heated	4	50	29																									
2B	2	28.07.2025	9	heated	5	50	42																									
2B	2	28.07.2025	9	heated	6	50	28																									
3A	3	28.07.2025	9	heated	1	50	35																									
3A	3	28.07.2025	9	heated	2	50	25																									
3A	3	28.07.2025	9	heated	3	50	29																									
3A	3	28.07.2025	9	heated	4	50	34																									
3A	3	28.07.2025	9	heated	5	50	26																									
3A	3	28.07.2025	9	heated	6	50	36																									
3B	3	28.07.2025	9	control	1	50	41																									
3B	3	28.07.2025	9	control	2	50	43																									
3B	3	28.07.2025	9	control	3	50	46																									
3B	3	28.07.2025	9	control	4	50	46																									
3B	3	28.07.2025	9	control	5	50	33																									
3B	3	28.07.2025	9	control	6	50	30																									
4A	4	28.07.2025	9	heated	1	50	27																									
4A	4	28.07.2025	9	heated	2	50	48																									
4A	4	28.07.2025	9	heated	3	50	49																									
4A	4	28.07.2025	9	heated	4	50	45																									
4A	4	28.07.2025	9	heated	5	50	36																									
4A	4	28.07.2025	9	heated	6	50	51																									
4B	4	28.07.2025	9	control	1	50	72																									
4B	4	28.07.2025	9	control	2	50	58																									
4B	4	28.07.2025	9	control	3	50	59																									
4B	4	28.07.2025	9	control	4	50	2																									
4B	4	28.07.2025	9	control	5	50	12																									
4B	4	28.07.2025	9	control	6	50	72																									
5A	5	28.07.2025	9	control	1	50	34																									
5A	5	28.07.2025	9	control	2	50	39																									
5A	5	28.07.2025	9	control	3	50	42																									
5A	5	28.07.2025	9	control	4	50	46																									
5A	5	28.07.2025	9	control	5	50	38																									
5A	5	28.07.2025	9	control	6	50	50																									
5B	5	28.07.2025	9	heated	1	50	50																									
5B	5	28.07.2025	9	heated	2	50	44																									
5B	5	28.07.2025	9	heated	3	50	46																									
5B	5	28.07.2025	9	heated	4	50	41																									
5B	5	28.07.2025	9	heated	5	50	42																									
5B	5	28.07.2025	9	heated	6	50	65																									
6A	6	28.07.2025	9	control	1	50	28																									
6A	6	28.07.2025	9	control	2	50	55																									
6A	6	28.07.2025	9	control	3	50	37																									
6A	6	28.07.2025	9	control	4	50	40																									
6A	6	28.07.2025	9	control	5	50	49																									
6A	6	28.07.2025	9	control	6	50	28																									
6B	6	28.07.2025	9	heated	1	50	39																									
6B	6	28.07.2025	9	heated	2	50	50																									
6B	6	28.07.2025	9	heated	3	50	55																									
6B	6	28.07.2025	9	heated	4	50	51																									
6B	6	28.07.2025	9	heated	5	50	49																									
6B	6	28.07.2025	9	heated	6	50	52																									
7A	7	28.07.2025	9	heated	1	50	52																									
7A	7	28.07.2025	9	heated	2	50	51																									
7A	7	28.07.2025	9	heated	3	50	50																									
7A	7	28.07.2025	9	heated	4	50	47																									
7A	7	28.07.2025	9	heated	5	50	61																									
7A	7	28.07.2025	9	heated	6	50	45																									
7B	7	28.07.2025	9	control	1	0	0																									
8A	8	28.07.2025	9	heated	1	50	67																									
8A	8	28.07.2025	9	heated	2	50	71																									
8A	8	28.07.2025	9	heated	3	50	48																									
8A	8	28.07.2025	9	heated	4	50	56																									
8A	8	28.07.2025	9	heated	5	50	36																									
8A	8	28.07.2025	9	heated	6	50	57																									
8B	8	28.07.2025	9	control	1	50	50																									
8B	8	28.07.2025	9	control	2	50	51																									
8B	8	28.07.2025	9	control	3	50	43																									
8B	8	28.07.2025	9	control	4	50	48																									
8B	8	28.07.2025	9	control	5	50	46																									
8B	8	28.07.2025	9	control	6	50	41																									
9A	9	28.07.2025	9	control	1	50	53																									
9A	9	28.07.2025	9	control	2	50	61																									
9A	9	28.07.2025	9	control	3	50	69																									
9A	9	28.07.2025	9	control	4	50	70																									
9A	9	28.07.2025	9	control	5	50	40																									
9A	9	28.07.2025	9	control	6	50	56																									
9B	9	28.07.2025	9	heated	1	50	34																									
9B	9	28.07.2025	9	heated	2	50	37																									
9B	9	28.07.2025	9	heated	3	50	28																									
9B	9	28.07.2025	9	heated	4	50	35																									
9B	9	28.07.2025	9	heated	5	50	33																									
9B	9	28.07.2025	9	heated	6	50	40																									
10A	10	28.07.2025	9	control	1	50	41																									
10A	10	28.07.2025	9	control	2	50	46																									
10A	10	28.07.2025	9	control	3	50	41																									
10A	10	28.07.2025	9	control	4	50	41																									
10A	10	28.07.2025	9	control	5	50	30																									
10A	10	28.07.2025	9	control	6	45	47																									
10B	10	28.07.2025	9	heated	1	50	41																									
10B	10	28.07.2025	9	heated	2	50	54																									
10B	10	28.07.2025	9	heated	3	50	42																									
10B	10	28.07.2025	9	heated	4	50	29																									
10B	10	28.07.2025	9	heated	5	50	32																									
10B	10	28.07.2025	9	heated	6	50	29																									
11A	11	28.07.2025	9	heated	1	50	36																									
11A	11	28.07.2025	9	heated	2	50	48																									
11A	11	28.07.2025	9	heated	3	50	63																									
11A	11	28.07.2025	9	heated	4	50	61																									
11A	11	28.07.2025	9	heated	5	50	47																									
11A	11	28.07.2025	9	heated	6	50	55																									
11B	11	28.07.2025	9	control	1	50	21																									
11B	11	28.07.2025	9	control	2	50	21																									
11B	11	28.07.2025	9	control	3	50	22																									
11B	11	28.07.2025	9	control	4	34	11																									
11B	11	28.07.2025	9	control	5	50	15																									
11B	11	28.07.2025	9	control	6	50	19																									
12A	12	28.07.2025	9	heated	1	50	106																									
12A	12	28.07.2025	9	heated	2	50	90																									
12A	12	28.07.2025	9	heated	3	50	86																									
12A	12	28.07.2025	9	heated	4	50	87																									
12A	12	28.07.2025	9	heated	5	50	83																									
12A	12	28.07.2025	9	heated	6	50	108																									
12B	12	28.07.2025	9	control	1	50	20																									
12B	12	28.07.2025	9	control	2	50	16																									
12B	12	28.07.2025	9	control	3	50	30																									
12B	12	28.07.2025	9	control	4	50	32																									
12B	12	28.07.2025	9	control	5	50	36																									
12B	12	28.07.2025	9	control	6	50	38																									
13A	13	28.07.2025	9	control	1	50	31																									
13A	13	28.07.2025	9	control	2	50	31																									
13A	13	28.07.2025	9	control	3	50	41																									
13A	13	28.07.2025	9	control	4	50	41																									
13A	13	28.07.2025	9	control	5	50	48																									
13A	13	28.07.2025	9	control	6	50	28																									
13B	13	28.07.2025	9	heated	1	50	42																									
13B	13	28.07.2025	9	heated	2	50	46																									
13B	13	28.07.2025	9	heated	3	50	53																									
13B	13	28.07.2025	9	heated	4	50	41																									
13B	13	28.07.2025	9	heated	5	50	40																									
13B	13	28.07.2025	9	heated	6	50	39																									
14A	14	28.07.2025	9	control	1	50	49																									
14A	14	28.07.2025	9	control	2	50	46																									
14A	14	28.07.2025	9	control	3	50	36																									
14A	14	28.07.2025	9	control	4	50	55																									
14A	14	28.07.2025	9	control	5	50	64																									
14A	14	28.07.2025	9	control	6	50	61																									
14B	14	28.07.2025	9	heated	1	50	51																									
14B	14	28.07.2025	9	heated	2	50	47																									
14B	14	28.07.2025	9	heated	3	50	37																									
14B	14	28.07.2025	9	heated	4	50	53																									
14B	14	28.07.2025	9	heated	5	50	56																									
14B	14	28.07.2025	9	heated	6	50	41																									
15A	15	28.07.2025	9	heated	1	50	6																									
15A	15	28.07.2025	9	heated	2	50	3																									
15A	15	28.07.2025	9	heated	3	50	2																									
15A	15	28.07.2025	9	heated	4	50	6																									
15A	15	28.07.2025	9	heated	5	50	9																									
15A	15	28.07.2025	9	heated	6	50	7																									
15B	15	28.07.2025	9	control	1	13	7																									
15B	15	28.07.2025	9	control	2	19	8																									
15B	15	28.07.2025	9	control	3	5	1																									
15B	15	28.07.2025	9	control	4	9	3																									
15B	15	28.07.2025	9	control	5	4	3																									
16A	16	28.07.2025	9	heated	1	50	43																									
16A	16	28.07.2025	9	heated	2	50	53																									
16A	16	28.07.2025	9	heated	3	50	81																									
16A	16	28.07.2025	9	heated	4	50	82																									
16A	16	28.07.2025	9	heated	5	50	55																									
16A	16	28.07.2025	9	heated	6	50	45																									
16B	16	28.07.2025	9	control	1	50	31																									
16B	16	28.07.2025	9	control	2	50	31																									
16B	16	28.07.2025	9	control	3	50	35																									
16B	16	28.07.2025	9	control	4	50	29																									
16B	16	28.07.2025	9	control	5	50	38																									
16B	16	28.07.2025	9	control	6	50	34																									
1A	1	11.08.2025	11	control	1	50	37																									
1A	1	11.08.2025	11	control	2	50	39																									
1A	1	11.08.2025	11	control	3	50	28																									
1A	1	11.08.2025	11	control	4	50	33																									
1A	1	11.08.2025	11	control	5	50	35																									
1A	1	11.08.2025	11	control	6	50	36																									
1B	1	11.08.2025	11	heated	1	0	0																									
2A	2	11.08.2025	11	control	1	14	9																									
2A	2	11.08.2025	11	control	2	3	3																									
2A	2	11.08.2025	11	control	3	8	6																									
2A	2	11.08.2025	11	control	4	7	5																									
2A	2	11.08.2025	11	control	5	5	1																									
2A	2	11.08.2025	11	control	6	9	1																									
2B	2	11.08.2025	11	heated	1	50	85																									
2B	2	11.08.2025	11	heated	2	50	79																									
2B	2	11.08.2025	11	heated	3	50	80																									
2B	2	11.08.2025	11	heated	4	50	79																									
2B	2	11.08.2025	11	heated	5	50	80																									
2B	2	11.08.2025	11	heated	6	50	80																									
3A	3	11.08.2025	11	heated	1	50	55																									
3A	3	11.08.2025	11	heated	2	50	57																									
3A	3	11.08.2025	11	heated	3	50	65																									
3A	3	11.08.2025	11	heated	4	50	64																									
3A	3	11.08.2025	11	heated	5	50	60																									
3A	3	11.08.2025	11	heated	6	50	62																									
3B	3	11.08.2025	11	control	1	50	73																									
3B	3	11.08.2025	11	control	2	50	47																									
3B	3	11.08.2025	11	control	3	50	61																									
3B	3	11.08.2025	11	control	4	50	71																									
3B	3	11.08.2025	11	control	5	50	65																									
3B	3	11.08.2025	11	control	6	50	59																									
4A	4	11.08.2025	11	heated	1	50	63																									
4A	4	11.08.2025	11	heated	2	50	102																									
4A	4	11.08.2025	11	heated	3	50	112																									
4A	4	11.08.2025	11	heated	4	50	74																									
4A	4	11.08.2025	11	heated	5	50	80																									
4A	4	11.08.2025	11	heated	6	50	93																									
4B	4	11.08.2025	11	control	1	50	54																									
4B	4	11.08.2025	11	control	2	50	118																									
4B	4	11.08.2025	11	control	3	50	33																									
4B	4	11.08.2025	11	control	4	50	30																									
4B	4	11.08.2025	11	control	5	50	18																									
4B	4	11.08.2025	11	control	6	50	20																									
5A	5	11.08.2025	11	control	1	2	1																									
5A	5	11.08.2025	11	control	2	23	6																									
5A	5	11.08.2025	11	control	3	14	7																									
5A	5	11.08.2025	11	control	4	6	3																									
5A	5	11.08.2025	11	control	5	8	2																									
5A	5	11.08.2025	11	control	6	31	24																									
5B	5	11.08.2025	11	heated	1	50	27																									
5B	5	11.08.2025	11	heated	2	50	16																									
5B	5	11.08.2025	11	heated	3	50	29																									
5B	5	11.08.2025	11	heated	4	50	29																									
5B	5	11.08.2025	11	heated	5	50	17																									
5B	5	11.08.2025	11	heated	6	50	28																									
6A	6	11.08.2025	11	control	1	3	5																									
6A	6	11.08.2025	11	control	2	50	48																									
6A	6	11.08.2025	11	control	3	50	52																									
6A	6	11.08.2025	11	control	4	50	61																									
6A	6	11.08.2025	11	control	5	50	70																									
6A	6	11.08.2025	11	control	6	50	54																									
6B	6	11.08.2025	11	heated	1	50	27																									
6B	6	11.08.2025	11	heated	2	50	50																									
6B	6	11.08.2025	11	heated	3	50	47																									
6B	6	11.08.2025	11	heated	4	50	52																									
6B	6	11.08.2025	11	heated	5	50	45																									
6B	6	11.08.2025	11	heated	6	50	50																									
7A	7	11.08.2025	11	heated	1	50	69																									
7A	7	11.08.2025	11	heated	2	50	71																									
7A	7	11.08.2025	11	heated	3	50	70																									
7A	7	11.08.2025	11	heated	4	50	80																									
7A	7	11.08.2025	11	heated	5	50	50																									
7A	7	11.08.2025	11	heated	6	50	65																									
7B	7	11.08.2025	11	control	1	0	0																									
8A	8	11.08.2025	11	heated	1	50	93																									
8A	8	11.08.2025	11	heated	2	50	101																									
8A	8	11.08.2025	11	heated	3	50	120																									
8A	8	11.08.2025	11	heated	4	50	100																									
8A	8	11.08.2025	11	heated	5	50	85																									
8A	8	11.08.2025	11	heated	6	50	91																									
8B	8	11.08.2025	11	control	1	50	62																									
8B	8	11.08.2025	11	control	2	50	67																									
8B	8	11.08.2025	11	control	3	50	68																									
8B	8	11.08.2025	11	control	4	50	70																									
8B	8	11.08.2025	11	control	5	50	62																									
8B	8	11.08.2025	11	control	6	50	65																									
9A	9	11.08.2025	11	control	1	6	0																									
9A	9	11.08.2025	11	control	2	7	2																									
9A	9	11.08.2025	11	control	3	4	0																									
9A	9	11.08.2025	11	control	4	4	0																									
9A	9	11.08.2025	11	control	5	9	0																									
9A	9	11.08.2025	11	control	6	6	0																									
9B	9	11.08.2025	11	heated	1	50	13																									
9B	9	11.08.2025	11	heated	2	23	8																									
9B	9	11.08.2025	11	heated	3	38	9																									
9B	9	11.08.2025	11	heated	4	26	6																									
9B	9	11.08.2025	11	heated	5	24	7																									
9B	9	11.08.2025	11	heated	6	50	22																									
10A	10	11.08.2025	11	control	1	7	1																									
10A	10	11.08.2025	11	control	2	7	3																									
10A	10	11.08.2025	11	control	3	14	11																									
10A	10	11.08.2025	11	control	4	10	4																									
10A	10	11.08.2025	11	control	5	9	3																									
10A	10	11.08.2025	11	control	6	2	0																									
10B	10	11.08.2025	11	heated	1	50	75																									
10B	10	11.08.2025	11	heated	2	50	85																									
10B	10	11.08.2025	11	heated	3	50	81																									
10B	10	11.08.2025	11	heated	4	50	86																									
10B	10	11.08.2025	11	heated	5	50	77																									
10B	10	11.08.2025	11	heated	6	50	80																									
11A	11	11.08.2025	11	heated	1	50	82																									
11A	11	11.08.2025	11	heated	2	50	74																									
11A	11	11.08.2025	11	heated	3	50	76																									
11A	11	11.08.2025	11	heated	4	50	80																									
11A	11	11.08.2025	11	heated	5	50	95																									
11A	11	11.08.2025	11	heated	6	50	102																									
11B	11	11.08.2025	11	control	1	17	3																									
11B	11	11.08.2025	11	control	2	13	4																									
11B	11	11.08.2025	11	control	3	9	3																									
11B	11	11.08.2025	11	control	4	2	1																									
11B	11	11.08.2025	11	control	5	3	1																									
11B	11	11.08.2025	11	control	6	8	5																									
12A	12	11.08.2025	11	heated	1	50	174																									
12A	12	11.08.2025	11	heated	2	50	201																									
12A	12	11.08.2025	11	heated	3	50	196																									
12A	12	11.08.2025	11	heated	4	50	221																									
12A	12	11.08.2025	11	heated	5	50	229																									
12A	12	11.08.2025	11	heated	6	50	219																									
12B	12	11.08.2025	11	control	1	4	11																									
12B	12	11.08.2025	11	control	2	50	32																									
12B	12	11.08.2025	11	control	3	50	45																									
12B	12	11.08.2025	11	control	4	50	44																									
12B	12	11.08.2025	11	control	5	50	38																									
12B	12	11.08.2025	11	control	6	50	35																									
13A	13	11.08.2025	11	control	1	50	75																									
13A	13	11.08.2025	11	control	2	50	45																									
13A	13	11.08.2025	11	control	3	50	73																									
13A	13	11.08.2025	11	control	4	50	54																									
13A	13	11.08.2025	11	control	5	50	56																									
13A	13	11.08.2025	11	control	6	50	48																									
13B	13	11.08.2025	11	heated	1	50	80																									
13B	13	11.08.2025	11	heated	2	50	95																									
13B	13	11.08.2025	11	heated	3	50	94																									
13B	13	11.08.2025	11	heated	4	50	90																									
13B	13	11.08.2025	11	heated	5	50	101																									
13B	13	11.08.2025	11	heated	6	50	89																									
14A	14	11.08.2025	11	control	1	50	47																									
14A	14	11.08.2025	11	control	2	50	45																									
14A	14	11.08.2025	11	control	3	50	64																									
14A	14	11.08.2025	11	control	4	50	50																									
14A	14	11.08.2025	11	control	5	50	46																									
14A	14	11.08.2025	11	control	6	50	50																									
14B	14	11.08.2025	11	heated	1	50	103																									
14B	14	11.08.2025	11	heated	2	50	99																									
14B	14	11.08.2025	11	heated	3	50	100																									
