pond	block	date	timepoint	treatment	replicates	duckweed_number	aphid_number																									
8B	8	02.06.2025	1	control	6	50	5																									
9A	9	02.06.2025	1	control	1	50	12																									
9A	9	02.06.2025	1	control	2	50	12																									
9A	9	02.06.2025	1	control	3	50	17																									
9A	9	02.06.2025	1	control	4	50	7																									
9A	9	02.06.2025	1	control	5	50	7																									
9A	9	02.06.2025	1	control	6	50	6																									
9B	9	02.06.2025	1	heated	1	50	3																									
9B	9	02.06.2025	1	heated	2	50	4																									
9B	9	02.06.2025	1	heated	3	50	11																									
9B	9	02.06.2025	1	heated	4	50	9																									
9B	9	02.06.2025	1	heated	5	50	18																									
9B	9	02.06.2025	1	heated	6	50	7																									
10A	10	02.06.2025	1	control	1	50	10																									
10A	10	02.06.2025	1	control	2	50	7																									
10A	10	02.06.2025	1	control	3	50	5																									
10A	10	02.06.2025	1	control	4	50	9																									
10A	10	02.06.2025	1	control	5	50	13																									
10A	10	02.06.2025	1	control	6	50	15																									
10B	10	02.06.2025	1	heated	1	50	10																									
10B	10	02.06.2025	1	heated	2	50	11																									
10B	10	02.06.2025	1	heated	3	50	9																									
10B	10	02.06.2025	1	heated	4	50	11																									
10B	10	02.06.2025	1	heated	5	50	11																									
10B	10	02.06.2025	1	heated	6	50	8																									
11A	11	02.06.2025	1	heated	1	50	13																									
11A	11	02.06.2025	1	heated	2	50	14																									
11A	11	02.06.2025	1	heated	3	50	1																									
11A	11	02.06.2025	1	heated	4	50	6																									
11A	11	02.06.2025	1	heated	5	50	13																									
11A	11	02.06.2025	1	heated	6	50	8																									
11B	11	02.06.2025	1	control	1	50	6																									
11B	11	02.06.2025	1	control	2	50	5																									
11B	11	02.06.2025	1	control	3	50	7																									
11B	11	02.06.2025	1	control	4	50	9																									
11B	11	02.06.2025	1	control	5	50	4																									
11B	11	02.06.2025	1	control	6	50	13																									
12A	12	02.06.2025	1	heated	1	50	6																									
12A	12	02.06.2025	1	heated	2	50	12																									
12A	12	02.06.2025	1	heated	3	50	8																									
12A	12	02.06.2025	1	heated	4	50	13																									
12A	12	02.06.2025	1	heated	5	50	6																									
12A	12	02.06.2025	1	heated	6	50	12																									
12B	12	02.06.2025	1	control	1	50	1																									
12B	12	02.06.2025	1	control	2	50	13																									
12B	12	02.06.2025	1	control	3	50	2																									
12B	12	02.06.2025	1	control	4	50	14																									
12B	12	02.06.2025	1	control	5	50	14																									
12B	12	02.06.2025	1	control	6	50	5																									
13A	13	02.06.2025	1	control	1	50	13																									
13A	13	02.06.2025	1	control	2	50	0																									
13A	13	02.06.2025	1	control	3	50	2																									
13A	13	02.06.2025	1	control	4	50	12																									
13A	13	02.06.2025	1	control	5	50	10																									
13A	13	02.06.2025	1	control	6	50	7																									
13B	13	02.06.2025	1	heated	1	50	15																									
13B	13	02.06.2025	1	heated	2	50	8																									
13B	13	02.06.2025	1	heated	3	50	11																									
13B	13	02.06.2025	1	heated	4	50	6																									
13B	13	02.06.2025	1	heated	5	50	5																									
13B	13	02.06.2025	1	heated	6	50	16																									
14A	14	02.06.2025	1	control	1	50	11																									
14A	14	02.06.2025	1	control	2	50	7																									
14A	14	02.06.2025	1	control	3	50	1																									
14A	14	02.06.2025	1	control	4	50	9																									
14A	14	02.06.2025	1	control	5	50	8																									
14A	14	02.06.2025	1	control	6	50	8																									
14B	14	02.06.2025	1	heated	1	50	14																									
14B	14	02.06.2025	1	heated	2	50	12																									
14B	14	02.06.2025	1	heated	3	50	5																									
14B	14	02.06.2025	1	heated	4	50	11																									
14B	14	02.06.2025	1	heated	5	50	10																									
14B	14	02.06.2025	1	heated	6	50	7																									
15A	15	02.06.2025	1	heated	1	50	12																									
15A	15	02.06.2025	1	heated	2	50	7																									
15A	15	02.06.2025	1	heated	3	50	4																									
15A	15	02.06.2025	1	heated	4	50	5																									
15A	15	02.06.2025	1	heated	5	50	12																									
15A	15	02.06.2025	1	heated	6	50	6																									
15B	15	02.06.2025	1	control	1	50	9																									
15B	15	02.06.2025	1	control	2	50	5																									
15B	15	02.06.2025	1	control	3	50	19																									
15B	15	02.06.2025	1	control	4	50	11																									
15B	15	02.06.2025	1	control	5	50	14																									
15B	15	02.06.2025	1	control	6	50	8																									
16A	16	02.06.2025	1	heated	1	50	17																									
16A	16	02.06.2025	1	heated	2	50	7																									
16A	16	02.06.2025	1	heated	3	50	17																									
16A	16	02.06.2025	1	heated	4	50	4																									
16A	16	02.06.2025	1	heated	5	50	5																									
16A	16	02.06.2025	1	heated	6	50	7																									
16B	16	02.06.2025	1	control	1	50	8																									
16B	16	02.06.2025	1	control	2	50	9																									
16B	16	02.06.2025	1	control	3	50	5																									
16B	16	02.06.2025	1	control	4	50	9																									
16B	16	02.06.2025	1	control	5	50	9																									
16B	16	02.06.2025	1	control	6	50	12																									
1A	1	17.06.2025	3	control	1	50	43																									
1A	1	17.06.2025	3	control	2	50	51																									
1A	1	17.06.2025	3	control	3	50	27																									
1A	1	17.06.2025	3	control	4	50	29																									
1A	1	17.06.2025	3	control	5	50	17																									
1A	1	17.06.2025	3	control	6	50	40																									
1B	1	17.06.2025	3	heated	1	50	41																									
1B	1	17.06.2025	3	heated	2	50	34																									
1B	1	17.06.2025	3	heated	3	50	57																									
1B	1	17.06.2025	3	heated	4	50	47																									
1B	1	17.06.2025	3	heated	5	50	68																									
1B	1	17.06.2025	3	heated	6	50	28																									
2A	2	17.06.2025	3	control	1	50	11																									
2A	2	17.06.2025	3	control	2	50	48																									
2A	2	17.06.2025	3	control	3	50	24																									
2A	2	17.06.2025	3	control	4	50	25																									
2A	2	17.06.2025	3	control	5	50	32																									
2A	2	17.06.2025	3	control	6	50	21																									
2B	2	17.06.2025	3	heated	1	50	39																									
2B	2	17.06.2025	3	heated	2	50	41																									
2B	2	17.06.2025	3	heated	3	50	6																									
2B	2	17.06.2025	3	heated	4	50	28																									
2B	2	17.06.2025	3	heated	5	50	36																									
2B	2	17.06.2025	3	heated	6	50	31																									
3A	3	17.06.2025	3	heated	1	50	31																									
3A	3	17.06.2025	3	heated	2	50	13																									
3A	3	17.06.2025	3	heated	3	50	60																									
3A	3	17.06.2025	3	heated	4	50	68																									
3A	3	17.06.2025	3	heated	5	50	54																									
3A	3	17.06.2025	3	heated	6	50	39																									
3B	3	17.06.2025	3	control	1	50	22																									
3B	3	17.06.2025	3	control	2	50	15																									
3B	3	17.06.2025	3	control	3	50	19																									
3B	3	17.06.2025	3	control	4	50	28																									
3B	3	17.06.2025	3	control	5	50	25																									
3B	3	17.06.2025	3	control	6	50	25																									
4A	4	17.06.2025	3	heated	1	50	71																									
4A	4	17.06.2025	3	heated	2	50	50																									
4A	4	17.06.2025	3	heated	3	50	25																									
4A	4	17.06.2025	3	heated	4	50	51																									
4A	4	17.06.2025	3	heated	5	50	47																									
4A	4	17.06.2025	3	heated	6	50	48																									
4B	4	17.06.2025	3	control	1	50	7																									
4B	4	17.06.2025	3	control	2	50	9																									
4B	4	17.06.2025	3	control	3	50	26																									
4B	4	17.06.2025	3	control	4	50	27																									
4B	4	17.06.2025	3	control	5	50	20																									
4B	4	17.06.2025	3	control	6	50	17																									
5A	5	17.06.2025	3	control	1	50	27																									
5A	5	17.06.2025	3	control	2	50	30																									
5A	5	17.06.2025	3	control	3	50	29																									
5A	5	17.06.2025	3	control	4	50	38																									
5A	5	17.06.2025	3	control	5	50	28																									
5A	5	17.06.2025	3	control	6	50	42																									
5B	5	17.06.2025	3	heated	1	50	52																									
5B	5	17.06.2025	3	heated	2	50	45																									
5B	5	17.06.2025	3	heated	3	50	48																									
5B	5	17.06.2025	3	heated	4	50	50																									
5B	5	17.06.2025	3	heated	5	50	58																									
5B	5	17.06.2025	3	heated	6	50	49																									
6A	6	17.06.2025	3	control	1	50	32																									
6A	6	17.06.2025	3	control	2	50	32																									
6A	6	17.06.2025	3	control	3	50	52																									
6A	6	17.06.2025	3	control	4	50	6																									
6A	6	17.06.2025	3	control	5	50	20																									
6A	6	17.06.2025	3	control	6	50	28																									
6B	6	17.06.2025	3	heated	1	50	84																									
6B	6	17.06.2025	3	heated	2	50	45																									
6B	6	17.06.2025	3	heated	3	50	31																									
6B	6	17.06.2025	3	heated	4	50	56																									
6B	6	17.06.2025	3	heated	5	50	54																									
6B	6	17.06.2025	3	heated	6	50	34																									
7A	7	17.06.2025	3	heated	1	50	33																									
7A	7	17.06.2025	3	heated	2	50	48																									
7A	7	17.06.2025	3	heated	3	50	29																									
7A	7	17.06.2025	3	heated	4	50	73																									
7A	7	17.06.2025	3	heated	5	50	64																									
7A	7	17.06.2025	3	heated	6	50	46																									
7B	7	17.06.2025	3	control	1	50	34																									
7B	7	17.06.2025	3	control	2	50	31																									
7B	7	17.06.2025	3	control	3	50	31																									
7B	7	17.06.2025	3	control	4	50	32																									
7B	7	17.06.2025	3	control	5	50	26																									
7B	7	17.06.2025	3	control	6	50	31																									
8A	8	17.06.2025	3	heated	1	50	50																									
8A	8	17.06.2025	3	heated	2	50	21																									
8A	8	17.06.2025	3	heated	3	50	39																									
8A	8	17.06.2025	3	heated	4	50	20																									
8A	8	17.06.2025	3	heated	5	50	29																									
8A	8	17.06.2025	3	heated	6	50	47																									
8B	8	17.06.2025	3	control	1	50	20																									
8B	8	17.06.2025	3	control	2	50	20																									
8B	8	17.06.2025	3	control	3	50	33																									
8B	8	17.06.2025	3	control	4	50	18																									
8B	8	17.06.2025	3	control	5	50	31																									
8B	8	17.06.2025	3	control	6	50	31																									
9A	9	17.06.2025	3	control	1	50	29																									
9A	9	17.06.2025	3	control	2	50	26																									
9A	9	17.06.2025	3	control	3	50	23																									
9A	9	17.06.2025	3	control	4	50	21																									
9A	9	17.06.2025	3	control	5	50	23																									
9A	9	17.06.2025	3	control	6	50	22																									
9B	9	17.06.2025	3	heated	1	50	35																									
9B	9	17.06.2025	3	heated	2	50	45																									
9B	9	17.06.2025	3	heated	3	50	45																									
9B	9	17.06.2025	3	heated	4	50	45																									
9B	9	17.06.2025	3	heated	5	50	44																									
9B	9	17.06.2025	3	heated	6	50	42																									
10A	10	17.06.2025	3	control	1	50	12																									
10A	10	17.06.2025	3	control	2	50	38																									
10A	10	17.06.2025	3	control	3	50	43																									
10A	10	17.06.2025	3	control	4	50	38																									
10A	10	17.06.2025	3	control	5	50	45																									
10A	10	17.06.2025	3	control	6	50	40																									
10B	10	17.06.2025	3	heated	1	50	63																									
10B	10	17.06.2025	3	heated	2	50	50																									
10B	10	17.06.2025	3	heated	3	50	42																									
10B	10	17.06.2025	3	heated	4	50	48																									
10B	10	17.06.2025	3	heated	5	50	51																									
10B	10	17.06.2025	3	heated	6	50	49																									
11A	11	17.06.2025	3	heated	1	50	34																									
11A	11	17.06.2025	3	heated	2	50	30																									
11A	11	17.06.2025	3	heated	3	50	33																									
11A	11	17.06.2025	3	heated	4	50	30																									
11A	11	17.06.2025	3	heated	5	50	32																									
11A	11	17.06.2025	3	heated	6	50	33																									
11B	11	17.06.2025	3	control	1	50	32																									
11B	11	17.06.2025	3	control	2	50	29																									
11B	11	17.06.2025	3	control	3	50	29																									
11B	11	17.06.2025	3	control	4	50	30																									
11B	11	17.06.2025	3	control	5	50	30																									
11B	11	17.06.2025	3	control	6	50	48																									
12A	12	17.06.2025	3	heated	1	50	46																									
12A	12	17.06.2025	3	heated	2	50	60																									
12A	12	17.06.2025	3	heated	3	50	42																									
12A	12	17.06.2025	3	heated	4	50	50																									
12A	12	17.06.2025	3	heated	5	50	54																									
12A	12	17.06.2025	3	heated	6	50	52																									
12B	12	17.06.2025	3	control	1	50	30																									
12B	12	17.06.2025	3	control	2	50	36																									
12B	12	17.06.2025	3	control	3	50	32																									
12B	12	17.06.2025	3	control	4	50	26																									
12B	12	17.06.2025	3	control	5	50	29																									
12B	12	17.06.2025	3	control	6	50	30																									
13A	13	17.06.2025	3	control	1	50	32																									
13A	13	17.06.2025	3	control	2	50	33																									
13A	13	17.06.2025	3	control	3	50	41																									
13A	13	17.06.2025	3	control	4	50	27																									
13A	13	17.06.2025	3	control	5	50	29																									
13A	13	17.06.2025	3	control	6	50	22																									
13B	13	17.06.2025	3	heated	1	50	7																									
13B	13	17.06.2025	3	heated	2	50	46																									
13B	13	17.06.2025	3	heated	3	50	47																									
13B	13	17.06.2025	3	heated	4	50	28																									
13B	13	17.06.2025	3	heated	5	50	35																									
13B	13	17.06.2025	3	heated	6	50	35																									
14A	14	17.06.2025	3	control	1	50	24																									
14A	14	17.06.2025	3	control	2	50	32																									
14A	14	17.06.2025	3	control	3	50	30																									
14A	14	17.06.2025	3	control	4	50	39																									
14A	14	17.06.2025	3	control	5	50	28																									
14A	14	17.06.2025	3	control	6	50	28																									
14B	14	17.06.2025	3	heated	1	50	29																									
14B	14	17.06.2025	3	heated	2	50	32																									
14B	14	17.06.2025	3	heated	3	50	27																									
14B	14	17.06.2025	3	heated	4	50	21																									
14B	14	17.06.2025	3	heated	5	50	23																									
14B	14	17.06.2025	3	heated	6	50	27																									
15A	15	17.06.2025	3	heated	1	50	28																									
15A	15	17.06.2025	3	heated	2	50	50																									
15A	15	17.06.2025	3	heated	3	50	22																									
15A	15	17.06.2025	3	heated	4	50	32																									
15A	15	17.06.2025	3	heated	5	50	48																									
15A	15	17.06.2025	3	heated	6	50	40																									
15B	15	17.06.2025	3	control	1	50	30																									
15B	15	17.06.2025	3	control	2	50	25																									
15B	15	17.06.2025	3	control	3	50	37																									
15B	15	17.06.2025	3	control	4	50	38																									
15B	15	17.06.2025	3	control	5	50	38																									
15B	15	17.06.2025	3	control	6	50	25																									
16A	16	17.06.2025	3	heated	1	50	37																									
16A	16	17.06.2025	3	heated	2	50	42																									
16A	16	17.06.2025	3	heated	3	50	46																									
16A	16	17.06.2025	3	heated	4	50	43																									
16A	16	17.06.2025	3	heated	5	50	40																									
16A	16	17.06.2025	3	heated	6	50	42																									
16B	16	17.06.2025	3	control	1	50	32																									
16B	16	17.06.2025	3	control	2	50	24																									
16B	16	17.06.2025	3	control	3	50	37																									
16B	16	17.06.2025	3	control	4	50	45																									
16B	16	17.06.2025	3	control	5	50	29																									
